equepment,gear_coordinate,gear,pressure_,velocity1,want_gear_coordinate,want_gear_pressure,want_velocity,modify_statue
beam_push,,1,1,228.5714286,,,,
beam_push,,2,1,282.3529412,,,,
beam_push,,3,1,290.9090909,,,,
beam_push,,4,1,300,,,,
beam_push,,5,1,320,,,,
beam_push,,6,1,533.3333333,,,,
beam_push,,1,2,218.1818182,,,,
beam_push,,2,2,266.6666667,,,,
beam_push,,3,2,282.3529412,,,,
beam_push,,4,2,290.9090909,,,,
beam_push,,5,2,309.6774194,,,,
beam_push,,6,2,480,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
beam_push,,,,,,,,
