action_apraise_recorder,beam_coordinate,beam_head_coordinate,beam_tail_coordinate,box_half_up_coordinate,box_hand_relax_grap,box_up_coordinate,class_name,current_drill_gear,current_drill_gear_coordinate,current_pole_distance_not_in_hole,current_pole_number_in_hole,current_push_pull_gear,current_push_pull_gear_coordinate,hand_box_cloumns_1_coordinate,hand_box_cloumns_3_coordinate,hand_box_unstop_beam_driving_coordinate,hand_coordinate,hand_get_pole_at_beam_coordinate,hand_velocity,machine_angle_H,machine_angle_V,messure_drill,messure_push_pull,messure_water,oil_deep,order_name,order_parameter,pic_box_colum1_pole_number,pic_file,pic_hand_grap_faild,pole_angle_at_machine,pole_angle_at_machine_12colock,pole_angle_at_remote,push_pull_coordinate_begin,push_pull_coordinate_stop,tigger_coordinate_outer,tigger_head_move_coordinate,tigger_head_move_coordinate_middle,tigger_inner_coordinate,tigger_inner_drill_relax,tigger_inner_grap_coordinate,tigger_inner_relax_coordinate,tigger_outer_coordinate,tigger_outer_full_grap_coordinate,tigger_outer_full_open_coordinate,time_,velocity,water_deep,beam_acceleration,hand_acceleration,hand_box_cloumns_2_coordinate
65,0.328571429,4800,0,40,TRUE,20,,0,当前旋转坐标,2500,0,1,11,40,15,627,562,940,0,0,0,0,0,0.591324157,43,operator_top_forward_manual,,2,,,101,301,131,当前推拉坐标开始,当前推拉坐标终点,,8,10,15,0,102,11,28,98,4,0.02,0,53,0,0,28
65,0.657142857,4800,0,40,TRUE,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,465,500,948,-3100,0,-3,0,0,0.938922515,26,operator_top_forward_manual,,5,,,182,66,195,当前推拉坐标开始,当前推拉坐标终点,,11,10,2,0,81,25,21,98,8,0.04,16.42857143,69,821.4285714,0,28
65,0.985714286,4800,0,40,,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,596,551,949,2550,0,18,0,0,0.503035874,92,operator_top_forward_manual,,7,,,131,287,175,当前推拉坐标开始,当前推拉坐标终点,,9,10,4,0,116,0,0,100,1,0.06,16.42857143,70,0,282500,28
65,1.314285714,4800,0,40,FALSE,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,501,641,943,4500,0,18,0,0,0.198802518,76,operator_top_forward_manual,,2,,,55,252,82,当前推拉坐标开始,当前推拉坐标终点,,9,10,7,0,100,11,17,112,15,0.08,16.42857143,24,0,97500,28
65,1.642857143,4800,0,40,,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,628,483,958,-7900,0,21,0,0,0.395394156,25,operator_top_forward_manual,,7,,,202,276,23,当前推拉坐标开始,当前推拉坐标终点,,10,10,17,0,113,3,20,92,7,0.1,16.42857143,50,0,0,28
65,1.971428571,4800,0,40,TRUE,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,514,606,952,6150,0,9,0,0,0.491592695,84,operator_top_forward_manual,,9,,,324,176,321,当前推拉坐标开始,当前推拉坐标终点,,8,10,34,0,88,31,6,112,28,0.12,16.42857143,98,0,702500,28
65,2.3,4800,0,40,FALSE,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,576,497,944,-5450,0,22,0,0,0.418795694,62,operator_top_forward_manual,,9,,,125,221,196,当前推拉坐标开始,当前推拉坐标终点,,8,10,29,0,92,14,26,100,11,0.14,16.42857143,40,0,0,28
65,2.628571429,4800,0,40,FALSE,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,518,610,956,5650,0,12,0,0,0.043354127,24,operator_top_forward_manual,,5,,,337,36,69,当前推拉坐标开始,当前推拉坐标终点,,11,10,30,0,88,25,24,117,9,0.16,16.42857143,66,0,555000,28
65,2.957142857,4800,0,40,FALSE,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,624,531,953,-3950,0,0,0,0,0.357052481,54,operator_top_forward_manual,,7,,,189,94,18,当前推拉坐标开始,当前推拉坐标终点,,10,10,33,0,96,32,1,85,15,0.18,16.42857143,76,0,0,28
65,3.285714286,4800,0,40,TRUE,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,502,480,959,-2550,0,18,0,0,0.600180604,95,operator_top_forward_manual,,2,,,43,200,134,当前推拉坐标开始,当前推拉坐标终点,,10,10,23,0,116,14,8,92,25,0.2,16.42857143,93,0,70000,28
65,3.614285714,4800,0,40,,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,643,569,956,4450,0,18,0,0,0.271474104,92,operator_top_forward_manual,,4,,,359,86,351,当前推拉坐标开始,当前推拉坐标终点,,10,10,30,0,93,29,7,103,18,0.22,16.42857143,41,0,350000,28
65,3.942857143,4800,0,40,TRUE,20,every_order,0,当前旋转坐标,2500,0,1,11,40,15,607,497,959,-3600,0,-2,0,0,0.140959222,40,operator_top_forward_manual,,2,,,121,289,141,当前推拉坐标开始,当前推拉坐标终点,,10,10,33,0,100,21,30,95,34,0.24,16.42857143,79,0,0,28
