gear,pressure,direction,gear_direction,velocity,test_over_time,test_begin_coordinate,test_end_coordinate
1,1,forward,forward,228.5714286,210,0,48000
2,1,forward,forward,282.3529412,170,0,48000
3,1,forward,forward,290.9090909,165,0,48000
4,1,forward,forward,300,160,0,48000
5,1,forward,forward,320,150,0,48000
6,1,forward,forward,533.3333333,90,0,48000
1,2,forward,forward,218.1818182,220,0,48000
2,2,forward,forward,266.6666667,180,0,48000
3,2,forward,forward,282.3529412,170,170,48000
4,2,forward,forward,290.9090909,165,0,48000
5,2,forward,forward,309.6774194,155,0,48000
6,2,forward,forward,480,100,0,48000
1,3,forward,forward,208.6956522,230,0,48000
2,3,forward,forward,252.6315789,190,0,48000
3,3,forward,forward,274.2857143,175,0,48000
4,3,forward,forward,282.3529412,170,0,48000
5,3,forward,forward,300,160,0,48000
6,3,forward,forward,436.3636364,110,0,48000
1,4,forward,forward,0,0,0,48000
2,4,forward,forward,240,200,0,48000
3,4,forward,forward,266.6666667,180,0,48000
4,4,forward,forward,274.2857143,175,0,48000
5,4,forward,forward,290.9090909,165,0,48000
6,4,forward,forward,400,120,0,48000
1,5,forward,forward,0,0,0,48000
2,5,forward,forward,234.1463415,205,0,48000
3,5,forward,forward,120,190,0,48000
4,5,forward,forward,252.6315789,190,0,48000
5,5,forward,forward,282.3529412,170,0,48000
6,5,forward,forward,369.2307692,130,0,48000
1,6,forward,forward,0,0,0,48000
2,6,forward,forward,228.5714286,210,0,48000
3,6,forward,forward,240,200,0,48000
4,6,forward,forward,240,200,0,48000
5,6,forward,forward,266.6666667,180,0,48000
6,6,forward,forward,342.8571429,140,0,48000
1,7,forward,forward,0,0,0,48000
2,7,forward,forward,218.1818182,220,0,48000
3,7,forward,forward,228.5714286,210,0,48000
4,7,forward,forward,228.5714286,210,0,48000
5,7,forward,forward,252.6315789,190,0,48000
6,7,forward,forward,320,150,0,48000
1,8,forward,forward,0,0,0,48000
2,8,forward,forward,200,240,0,48000
3,8,forward,forward,218.1818182,220,0,48000
4,8,forward,forward,218.1818182,220,0,48000
5,8,forward,forward,240,200,0,48000
6,8,forward,forward,300,160,0,48000
1,9,forward,forward,0,0,0,48000
2,9,forward,forward,0,0,0,48000
3,9,forward,forward,40,0,0,48000
4,9,forward,forward,218.1818182,220,0,48000
5,9,forward,forward,228.5714286,210,0,48000
