gear,pressure,direction,gear_direction,velocity,test_over_time,test_begin_coordinate,test_end_coordinate,gear_run_velocity
1,1,forward,forward,228.5714286,210,0,48000,3.15
2,1,forward,forward,282.3529412,170,0,48000,3.15
3,1,forward,forward,290.9090909,165,0,48000,3.15
4,1,forward,forward,300,160,0,48000,3.15
5,1,forward,forward,320,150,0,48000,3.15
6,1,forward,forward,533.3333333,90,0,48000,3.15
1,2,forward,forward,218.1818182,220,0,48000,3.15
2,2,forward,forward,266.6666667,180,0,48000,3.15
3,2,forward,forward,282.3529412,170,170,48000,3.15
4,2,forward,forward,290.9090909,165,0,48000,3.15
5,2,forward,forward,309.6774194,155,0,48000,3.15
6,2,forward,forward,480,100,0,48000,3.15
1,3,forward,forward,208.6956522,230,0,48000,3.15
2,3,forward,forward,252.6315789,190,0,48000,3.15
3,3,forward,forward,274.2857143,175,0,48000,3.15
4,3,forward,forward,282.3529412,170,0,48000,3.15
5,3,forward,forward,300,160,0,48000,3.15
6,3,forward,forward,436.3636364,110,0,48000,3.15
1,4,forward,forward,0,0,0,48000,3.15
2,4,forward,forward,240,200,0,48000,3.15
3,4,forward,forward,266.6666667,180,0,48000,3.15
4,4,forward,forward,274.2857143,175,0,48000,3.15
5,4,forward,forward,290.9090909,165,0,48000,3.15
6,4,forward,forward,400,120,0,48000,3.15
1,5,forward,forward,0,0,0,48000,3.15
2,5,forward,forward,234.1463415,205,0,48000,3.15
3,5,forward,forward,120,190,0,48000,3.15
4,5,forward,forward,252.6315789,190,0,48000,3.15
5,5,forward,forward,282.3529412,170,0,48000,3.15
6,5,forward,forward,369.2307692,130,0,48000,3.15
1,6,forward,forward,0,0,0,48000,3.15
2,6,forward,forward,228.5714286,210,0,48000,3.15
3,6,forward,forward,240,200,0,48000,3.15
4,6,forward,forward,240,200,0,48000,3.15
5,6,forward,forward,266.6666667,180,0,48000,3.15
6,6,forward,forward,342.8571429,140,0,48000,3.15
1,7,forward,forward,0,0,0,48000,3.15
2,7,forward,forward,218.1818182,220,0,48000,3.15
3,7,forward,forward,228.5714286,210,0,48000,3.15
4,7,forward,forward,228.5714286,210,0,48000,3.15
5,7,forward,forward,252.6315789,190,0,48000,3.15
6,7,forward,forward,320,150,0,48000,3.15
1,8,forward,forward,0,0,0,48000,3.15
2,8,forward,forward,200,240,0,48000,3.15
3,8,forward,forward,218.1818182,220,0,48000,3.15
4,8,forward,forward,218.1818182,220,0,48000,3.15
5,8,forward,forward,240,200,0,48000,3.15
6,8,forward,forward,300,160,0,48000,3.15
1,9,forward,forward,0,0,0,48000,3.15
2,9,forward,forward,0,0,0,48000,3.15
3,9,forward,forward,40,0,0,48000,3.15
4,9,forward,forward,218.1818182,220,0,48000,3.15
5,9,forward,forward,228.5714286,210,0,48000,3.15
6,9,forward,forward,282.3529412,170,0,48000,3.15
1,10,forward,forward,0,0,0,48000,3.15
2,10,forward,forward,0,0,0,48000,3.15
3,10,forward,forward,10,0,0,48000,3.15
4,10,forward,forward,208.6956522,230,0,48000,3.15
5,10,forward,forward,218.1818182,220,0,48000,3.15
6,10,forward,forward,266.6666667,180,0,48000,3.15
1,11,forward,forward,0,0,0,48000,3.15
2,11,forward,forward,0,0,0,48000,3.15
3,11,forward,forward,0,0,0,48000,3.15
4,11,forward,forward,200,240,0,48000,3.15
5,11,forward,forward,208.6956522,230,0,48000,3.15
6,11,forward,forward,252.6315789,190,0,48000,3.15
1,12,forward,forward,0,0,0,48000,3.15
2,12,forward,forward,0,0,0,48000,3.15
3,12,forward,forward,0,0,0,48000,3.15
4,12,forward,forward,192,250,0,48000,3.15
5,12,forward,forward,200,240,0,48000,3.15
6,12,forward,forward,240,200,0,48000,3.15
1,13,forward,forward,0,0,0,48000,3.15
2,13,forward,forward,0,0,0,48000,3.15
3,13,forward,forward,0,0,0,48000,3.15
4,13,forward,forward,188.2352941,255,0,48000,3.15
5,13,forward,forward,192,250,0,48000,3.15
6,13,forward,forward,234.1463415,205,0,48000,3.15
1,14,forward,forward,0,0,0,48000,3.15
2,14,forward,forward,0,0,0,48000,3.15
3,14,forward,forward,0,0,0,48000,3.15
4,14,forward,forward,0,0,0,48000,3.15
5,14,forward,forward,184.6153846,260,0,48000,3.15
6,14,forward,forward,228.5714286,210,0,48000,3.15
1,15,forward,forward,0,0,0,48000,3.15
2,15,forward,forward,0,0,0,48000,3.15
3,15,forward,forward,0,0,0,48000,3.15
